request_id,device_id,primary_port,vlan_id
0,1,1,1
0,1,0,1
1,2,1,1
1,2,0,1
2,4,1,1
2,4,0,1
3,3,1,1
4,0,1,2
4,0,0,2
5,2,0,2
5,2,1,2
6,4,0,2
6,4,1,2
7,3,1,2
8,0,0,3
8,0,1,3
9,3,1,3
10,3,1,4
11,3,1,5
12,3,1,6
13,1,1,3
13,1,0,3
14,4,0,3
14,4,1,3
15,0,1,4
15,0,0,4
16,3,1,7
17,1,1,4
17,1,0,4
18,3,1,8
19,3,1,9
20,2,0,4
20,2,1,4
21,4,0,4
21,4,1,4
22,0,0,5
22,0,1,5
23,3,1,10
24,3,1,11
25,1,1,5
25,1,0,5
26,4,1,5
26,4,0,5
27,0,1,6
27,0,0,6
28,1,0,6
28,1,1,6
29,3,1,12
30,2,1,6
30,2,0,6
31,3,1,14
32,3,1,15
33,4,1,6
33,4,0,6
34,1,1,7
34,1,0,7
35,3,1,16
36,2,1,7
36,2,0,7
37,3,1,17
38,3,1,18
39,3,1,19
40,3,1,21
41,4,0,7
41,4,1,7
42,0,1,8
42,0,0,8
43,1,1,8
43,1,0,8
44,2,0,8
44,2,1,8
45,0,0,9
45,0,1,9
46,3,1,23
47,3,1,24
48,4,1,9
48,4,0,9
49,3,1,25
50,3,1,26
51,3,1,27
52,0,1,10
52,0,0,10
53,2,1,10
53,2,0,10
54,3,1,28
55,4,1,10
55,4,0,10
56,0,1,11
56,0,0,11
57,3,1,29
58,3,1,30
59,3,1,31
60,2,0,11
60,2,1,11
61,1,1,12
61,1,0,12
62,2,1,12
62,2,0,12
63,0,1,13
63,0,0,13
64,3,1,33
65,3,1,35
66,4,1,35
67,1,1,13
67,1,0,13
68,0,1,14
68,0,0,14
69,3,1,36
70,1,0,14
70,1,1,14
71,4,1,14
71,4,0,14
72,3,1,37
73,4,1,38
74,3,1,39
75,4,1,39
76,3,1,40
77,0,0,15
77,0,1,15
78,0,1,16
78,0,0,16
79,4,1,41
80,2,1,16
80,2,0,16
81,4,1,42
82,3,1,43
83,4,1,16
83,4,0,16
84,1,1,17
84,1,0,17
85,0,1,18
85,0,0,18
86,4,1,43
87,4,0,18
87,4,1,18
88,1,1,19
88,1,0,19
89,2,1,19
89,2,0,19
90,4,0,19
90,4,1,19
91,0,1,20
91,0,0,20
92,3,1,44
93,1,1,20
93,1,0,20
94,4,1,44
95,3,1,45
96,2,0,20
96,2,1,20
97,4,0,20
97,4,1,20
98,4,1,45
99,3,1,46
100,4,1,46
101,1,1,21
101,1,0,21
102,4,0,21
102,4,1,21
103,0,1,22
103,0,0,22
104,3,1,47
105,4,1,47
106,4,1,48
107,3,1,49
108,2,0,22
108,2,1,22
109,3,1,50
110,4,1,50
111,4,1,22
111,4,0,22
112,4,1,51
113,3,1,52
114,4,1,52
115,3,1,53
116,0,0,23
116,0,1,23
117,1,0,23
117,1,1,23
118,4,1,53
119,3,1,54
120,3,1,56
121,3,1,57
122,3,1,58
123,4,1,58
124,3,1,59
125,4,1,59
126,3,1,60
127,2,0,23
127,2,1,23
128,4,1,60
129,4,1,61
130,4,0,23
130,4,1,23
131,0,0,24
131,0,1,24
132,3,1,62
133,4,1,62
134,3,1,63
135,4,1,63
136,3,1,64
137,1,1,24
137,1,0,24
138,3,1,65
139,4,1,65
140,4,1,66
141,3,1,67
142,4,1,67
143,2,0,24
143,2,1,24
144,4,1,24
144,4,0,24
145,1,1,25
145,1,0,25
146,3,1,68
147,4,0,25
147,4,1,25
148,4,1,68
149,3,1,69
150,2,0,26
150,2,1,26
151,0,1,27
151,0,0,27
152,4,1,69
153,1,0,27
153,1,1,27
154,4,0,27
154,4,1,27
155,0,0,28
155,0,1,28
156,2,1,28
156,2,0,28
157,3,1,70
158,4,1,70
